State,Year,Deaths,Population,crudemort_rate,Mort_rate
Missouri,2009,54263,5961088,910.29,0.910286847
Montana,2009,8730,983982,887.21,0.887211351
Nebraska,2009,14810,1812683,817.02,0.817020957
Nevada,2009,19224,2684665,716.07,0.716066995
New Hampshire,2009,10100,1316102,767.42,0.767417723
New Jersey,2009,68277,8755602,779.81,0.779809315
New Mexico,2009,15643,2036802,768.02,0.768017706
New York,2009,146475,19307066,758.66,0.758660068
North Carolina,2009,77117,9449566,816.09,0.81609039
North Dakota,2009,5914,664968,889.37,0.889366105
Ohio,2009,107156,11528896,929.46,0.929455865
Oklahoma,2009,35601,3717572,957.64,0.95764117
Oregon,2009,31636,3808600,830.65,0.830646432
Pennsylvania,2009,124780,12666858,985.09,0.985090383
Rhode Island,2009,9395,1053646,891.67,0.891665702
South Carolina,2009,40449,4589872,881.27,0.881266406
South Dakota,2009,6923,807067,857.8,0.857797432
Tennessee,2009,58288,6306019,924.32,0.924323254
Texas,2009,163249,24801761,658.22,0.658215358
Utah,2009,14138,2723421,519.13,0.519126496
Vermont,2009,5034,624817,805.68,0.805675902
Virginia,2009,58653,7925937,740.01,0.740013452
Washington,2009,48270,6667426,723.97,0.72396754
West Virginia,2009,21386,1847775,1157.39,1.157391998
Wisconsin,2009,45697,5669264,806.05,0.806048192
Wyoming,2009,4283,559851,765.02,0.76502498
Alabama,2010,48038,4779736,1005.03,1.005034588
Alaska,2010,3728,710231,524.9,0.524899645
Arizona,2010,46762,6392017,731.57,0.731568768
Arkansas,2010,28916,2915918,991.66,0.991660259
California,2010,234012,37253956,628.15,0.628153423
Colorado,2010,31465,5029196,625.65,0.625646724
Connecticut,2010,28692,3574097,802.78,0.802776198
Delaware,2010,7706,897934,858.19,0.85819225
District of Columbia,2010,4672,601723,776.44,0.776436998
Florida,2010,173791,18801310,924.36,0.924355803
Georgia,2010,71263,9687653,735.61,0.735606447
Hawaii,2010,9617,1360301,706.98,0.706975883
Idaho,2010,11429,1567582,729.08,0.729084667
Illinois,2010,99931,12830632,778.85,0.778847059
Indiana,2010,56743,6483802,875.15,0.875150105
Iowa,2010,27745,3046355,910.76,0.910760565
Kansas,2010,24502,2853118,858.78,0.858779763
Kentucky,2010,41983,4339367,967.49,0.967491341
Louisiana,2010,40667,4533372,897.06,0.897058525
Maine,2010,12750,1328361,959.83,0.959829444
Maryland,2010,43325,5773552,750.4,0.750404604
Massachusetts,2010,52583,6547629,803.08,0.803084597
Michigan,2010,88021,9883640,890.57,0.890572704
Minnesota,2010,38972,5303925,734.78,0.734776604
Mississippi,2010,28965,2967297,976.14,0.976140912
Missouri,2010,55281,5988927,923.05,0.923053495
Montana,2010,8827,989415,892.14,0.892143337
Nebraska,2010,15171,1826341,830.68,0.830677294
Nevada,2010,19623,2700551,726.63,0.726629492
New Hampshire,2010,10201,1316470,774.88,0.774875235
New Jersey,2010,69495,8791894,790.44,0.790444016
New Mexico,2010,15931,2059179,773.66,0.773657851
New York,2010,146432,19378102,755.66,0.755657081
North Carolina,2010,78773,9535483,826.1,0.826103932
North Dakota,2010,5944,672591,883.75,0.883746586
